trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1154358852;1154698901.sql;1154358852.sql;56;56;709;709;0;0;0;0;0;0;0;0
2;1154698901;1156863525.sql;1154698901.sql;56;55;709;703;0;1;0;0;0;0;0;6
3;1156863525;1159353929.sql;1156863525.sql;55;57;703;716;2;0;1;0;0;0;12;0
4;1159353929;1159354265.sql;1159353929.sql;57;57;716;716;0;0;0;0;0;0;0;0
5;1159354265;1159361402.sql;1159354265.sql;57;57;716;716;0;0;0;0;3;0;0;0
6;1159361402;1159373801.sql;1159361402.sql;57;57;716;716;0;0;1;1;0;0;0;0
7;1159373801;1159376519.sql;1159373801.sql;57;57;716;716;0;0;0;0;9;0;0;0
8;1159376519;1160658876.sql;1159376519.sql;57;57;716;716;0;0;0;0;1;0;0;0
9;1160658876;1161079386.sql;1160658876.sql;57;57;716;716;0;0;6;6;0;0;0;0
10;1161079386;1161808009.sql;1161079386.sql;57;57;716;716;0;0;0;0;0;0;0;0
11;1161808009;1162236613.sql;1161808009.sql;57;57;716;718;0;0;3;1;0;0;0;0
12;1162236613;1162894383.sql;1162236613.sql;57;58;718;732;1;0;0;0;0;0;14;0
13;1162894383;1162912964.sql;1162894383.sql;58;58;732;732;0;0;0;0;1;0;0;0
14;1162912964;1171279747.sql;1162912964.sql;58;58;732;732;0;0;0;0;20;0;0;0
15;1171279747;1171631858.sql;1171279747.sql;58;58;732;732;0;0;0;0;1;0;0;0
16;1171631858;1173192959.sql;1171631858.sql;58;58;732;732;0;0;0;0;1;0;0;0
17;1173192959;1173876121.sql;1173192959.sql;58;59;732;740;1;0;2;0;2;0;6;0
18;1173876121;1175097326.sql;1173876121.sql;59;59;740;742;0;0;2;0;0;0;0;0
19;1175097326;1176293726.sql;1175097326.sql;59;59;742;742;0;0;0;0;56;0;0;0
20;1176293726;1176466088.sql;1176293726.sql;59;59;742;742;0;0;0;0;0;0;0;0
21;1176466088;1177346675.sql;1176466088.sql;59;59;742;742;0;0;0;0;0;0;0;0
22;1177346675;1177518923.sql;1177346675.sql;59;51;742;700;0;8;0;0;1;0;0;42
23;1177518923;1177593315.sql;1177518923.sql;51;51;700;700;0;0;3;3;0;0;0;0
24;1177593315;1177920727.sql;1177593315.sql;51;51;700;700;0;0;0;0;2;0;0;0
25;1177920727;1177937714.sql;1177920727.sql;51;51;700;700;0;0;0;0;2;0;0;0
26;1177937714;1178484983.sql;1177937714.sql;51;51;700;700;0;0;1;1;4;0;0;0
27;1178484983;1178547935.sql;1178484983.sql;51;51;700;700;0;0;0;0;6;0;0;0
28;1178547935;1179495089.sql;1178547935.sql;51;52;700;708;1;0;0;0;0;0;8;0
