table;dur;birth;death;chngs;s@s;s@e;sAvg
super_master_table;85;0;-;10;8;12;9.42353
l1_tt_to_ttv;85;0;-;4;6;6;6.0117645
hlt_trigger_menu;85;0;-;9;8;8;8.011765
hlt_trigger_group;50;35;-;2;6;6;6.0
hlt_trigger_stream;82;3;-;32;6;8;7.804878
HLT_RULE_PARAMETER;15;70;-;0;7;7;7.0
l1_master_table;84;0;-;10;15;15;14.880953
hlt_dll;22;0;21;1;7;7;7.0
hlt_property;22;0;21;1;7;7;7.0
l1_prescaled_clock;85;0;-;6;8;8;8.011765
l1_tm_to_tt_mon;45;40;-;4;11;11;11.0
hlt_re_to_dl;22;0;21;1;6;6;6.0
hlt_ts_to_te;85;0;-;4;7;7;7.0117645
trigger_next_run;85;0;-;4;5;5;5.0117645
l1_prescale_set_alias;55;30;-;5;7;7;7.018182
hlt_tm_to_ps;18;67;-;0;6;6;6.0
hlt_tt_to_tr;1;53;53;0;7;7;7.0
HLT_HRS_TO_HRU;15;70;-;1;6;7;6.8
hlt_trigger_element;85;0;-;7;6;6;6.0117645
l1_ti_to_tt;85;0;-;4;8;8;8.011765
HLT_RULE;15;70;-;0;7;7;7.0
l1_bg_to_b;85;0;-;4;6;6;6.0117645
hlt_trigger_type;68;17;-;28;6;6;6.0147057
HLT_RULE_COMPONENT;15;70;-;2;8;10;9.6
hlt_te_to_te;85;0;-;13;6;8;7.4
l1_muctpi_info;85;0;-;6;9;9;9.011765
l1_calo_info;85;0;-;9;19;19;19.011765
l1_ci_to_csc;85;0;-;4;6;6;6.0117645
hlt_parameter;85;0;-;11;7;8;7.1764708
l1_trigger_item;85;0;-;9;9;12;11.070588
trigger_alias;57;28;-;8;8;7;7.017544
l1_calo_sin_cos;85;0;-;6;18;18;18.011765
l1_trigger_menu;85;0;-;9;11;10;10.4
HLT_SMT_TO_HRE;8;77;-;0;6;6;6.0
l1_ctp_smx;85;0;-;12;13;13;13.011765
l1_random;85;0;-;12;8;12;10.435294
hlt_prescale_set_coll;2;83;-;1;3;4;3.5
l1_pits;45;40;-;1;7;7;7.0
l1_dead_time;85;0;-;6;11;11;11.011765
hlt_tm_to_tc;85;0;-;5;7;6;6.282353
hlt_prescale;85;0;-;9;7;9;8.4
l1_trigger_threshold;85;0;-;8;8;10;9.588235
trigger_log;34;51;-;5;3;4;3.6764705
l1_bunch_group;85;0;-;7;6;7;6.2
hlt_trigger_streamtag;1;53;53;0;5;5;5.0
hlt_te_to_cp;85;0;-;13;7;7;7.0941176
hlt_setup;85;0;-;6;6;7;6.435294
hlt_source;22;0;21;1;6;6;6.0
hlt_tc_to_st;2;0;1;0;6;6;6.0
l1_jet_input;85;0;-;6;12;12;12.011765
HLT_HRC_TO_HRP;15;70;-;0;6;6;6.0
tt_users;28;57;-;0;3;3;3.0
l1_bgs_to_bg;85;0;-;4;7;7;7.0117645
l1_trigger_threshold_value;85;0;-;20;17;17;17.011765
hlt_so_to_py;22;0;21;0;3;3;3.0
l1_prescale_set;85;0;-;15;266;266;266.0
trigger_schema;43;42;-;2;3;3;3.0
l1_ctp_files;85;0;-;14;8;16;12.435294
hlt_cp_to_pa;85;0;-;4;6;6;6.0117645
DBCOPY_SOURCE_DATABASE;5;80;-;0;1;1;1.0
hlt_component;85;0;-;16;9;10;9.129412
hlt_force_dll;38;0;37;3;6;6;6.0263157
l1_muon_threshold_set;16;69;-;13;24;20;22.25
HLT_HRE_TO_HRS;12;73;-;0;6;6;6.0
l1_tm_to_tt_forced;85;0;-;4;6;6;6.0117645
hlt_cp_to_cp;19;66;-;4;6;6;6.0
hlt_so_to_dl;22;0;21;0;3;3;3.0
HLT_HRU_TO_HRC;15;70;-;0;7;7;7.0
hlt_tc_to_tr;81;3;-;8;6;7;6.8271604
l1_tm_to_ps;18;67;-;0;6;6;6.0
hlt_tc_to_ts;85;0;-;4;7;7;7.0117645
hlt_release;85;0;-;10;6;8;6.2
hlt_tc_to_tt;1;53;53;0;6;6;6.0
hlt_trigger_signature;85;0;-;4;5;5;5.0117645
l1_tm_to_ti;85;0;-;5;7;6;6.282353
hlt_trigger_chain;85;0;-;16;10;12;10.552941
l1_random_rates;52;33;-;3;2;3;2.9807692
hlt_dl_to_en;22;0;21;0;3;3;3.0
l1_bunch_group_set;85;0;-;7;6;7;6.211765
hlt_prescale_set;85;0;-;9;7;7;7.0
HLT_RULE_SET;15;70;-;0;6;6;6.0
hlt_st_to_cp;85;0;-;4;6;6;6.0117645
hlt_environment;22;0;21;2;7;7;7.0
hlt_prescale_set_alias;52;33;-;3;7;7;7.0
l1_trigger_type;57;0;56;6;14;14;14.017544
hlt_master_table;85;0;-;11;10;12;11.341176
l1_muon_threshold_sets;57;12;68;6;14;14;14.017544
l1_tm_to_tt;85;0;-;13;11;11;11.094118
