trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1063918093;1063432205.sql;1063918093.sql;8;8;85;87;0;0;2;0;0;0;0;0
2;1064961833;1063918093.sql;1064961833.sql;8;8;87;89;0;0;2;0;0;0;0;0
3;1065051572;1064961833.sql;1065051572.sql;8;9;89;93;1;0;0;0;0;0;4;0
4;1066282448;1065051572.sql;1066282448.sql;9;10;93;96;1;0;1;0;0;0;2;0
5;1075630671;1066282448.sql;1075630671.sql;10;11;96;99;1;0;0;0;0;0;3;0
6;1078065017;1075630671.sql;1078065017.sql;11;12;99;107;1;0;0;0;0;0;8;0
7;1078125890;1078065017.sql;1078125890.sql;12;12;107;108;0;0;1;0;0;0;0;0
8;1079907675;1078125890.sql;1079907675.sql;12;12;108;108;0;0;0;0;0;0;0;0
9;1080709066;1079907675.sql;1080709066.sql;12;13;108;115;1;0;4;0;0;0;3;0
10;1086369394;1080709066.sql;1086369394.sql;13;13;115;115;0;0;1;1;0;0;0;0
11;1086848415;1086369394.sql;1086848415.sql;13;13;115;115;0;0;0;0;0;1;0;0
12;1087193328;1086848415.sql;1087193328.sql;13;13;115;116;0;0;1;0;0;0;0;0
13;1087400215;1087193328.sql;1087400215.sql;13;13;116;117;0;0;1;0;0;0;0;0
14;1087474114;1087400215.sql;1087474114.sql;13;14;117;118;1;0;0;1;0;0;2;0
15;1087629270;1087474114.sql;1087629270.sql;14;15;118;120;1;0;0;0;0;0;2;0
16;1087640779;1087629270.sql;1087640779.sql;15;15;120;122;0;0;6;4;0;0;0;0
17;1087938735;1087640779.sql;1087938735.sql;15;15;122;122;0;0;0;0;1;0;0;0
18;1088594299;1087938735.sql;1088594299.sql;15;15;122;122;0;0;0;0;0;0;0;0
19;1089090208;1088594299.sql;1089090208.sql;15;15;122;123;0;0;1;0;0;0;0;0
20;1089786814;1089090208.sql;1089786814.sql;15;16;123;127;1;0;0;0;0;0;4;0
21;1091797667;1089786814.sql;1091797667.sql;16;16;127;128;0;0;1;0;0;0;0;0
22;1092004679;1091797667.sql;1092004679.sql;16;16;128;128;0;0;0;0;0;0;0;0
23;1092005267;1092004679.sql;1092005267.sql;16;16;128;128;0;0;0;0;0;0;0;0
24;1092083664;1092005267.sql;1092083664.sql;16;16;128;129;0;0;1;0;0;0;0;0
25;1092371107;1092083664.sql;1092371107.sql;16;16;129;130;0;0;1;0;0;0;0;0
26;1094702316;1092371107.sql;1094702316.sql;16;17;130;132;1;0;0;0;0;0;2;0
27;1096977771;1094702316.sql;1096977771.sql;17;19;132;148;2;0;0;0;0;0;16;0
28;1097150148;1096977771.sql;1097150148.sql;19;19;148;148;0;0;0;0;0;0;0;0
29;1097253895;1097150148.sql;1097253895.sql;19;19;148;148;0;0;0;0;0;0;0;0
30;1099322400;1097253895.sql;1099322400.sql;19;19;148;148;0;0;0;0;0;0;0;0
