trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;939669579;0939579864.sql;0939669579.sql;19;17;82;75;0;2;0;0;0;1;0;7
2;940867719;0939669579.sql;0940867719.sql;17;18;75;83;1;0;2;0;5;0;6;0
3;942168743;0940867719.sql;0942168743.sql;18;18;83;83;0;0;0;0;0;4;0;0
4;943365716;0942168743.sql;0943365716.sql;18;18;83;83;0;0;4;4;0;0;0;0
5;943365844;0943365716.sql;0943365844.sql;18;18;83;83;0;0;4;4;0;0;0;0
6;943366406;0943365844.sql;0943366406.sql;18;18;83;83;0;0;6;6;0;0;0;0
7;947177076;0943366406.sql;0947177076.sql;18;18;83;83;0;0;0;0;1;0;0;0
8;947516385;0947177076.sql;0947516385.sql;18;18;83;85;0;0;3;1;5;0;0;0
9;947517057;0947516385.sql;0947517057.sql;18;20;85;93;2;0;0;0;0;0;8;0
10;947689078;0947517057.sql;0947689078.sql;20;20;93;93;0;0;0;0;1;0;0;0
11;947690071;0947689078.sql;0947690071.sql;20;20;93;93;0;0;0;0;1;0;0;0
12;947763933;0947690071.sql;0947763933.sql;20;20;93;93;0;0;0;0;0;0;0;0
13;947776597;0947763933.sql;0947776597.sql;20;21;93;95;1;0;0;0;0;0;2;0
14;947851648;0947776597.sql;0947851648.sql;21;21;95;98;0;0;5;2;0;0;0;0
15;947859071;0947851648.sql;0947859071.sql;21;21;98;98;0;0;0;0;0;1;0;0
16;947866332;0947859071.sql;0947866332.sql;21;21;98;99;0;0;1;0;0;0;0;0
17;947957463;0947866332.sql;0947957463.sql;21;21;99;99;0;0;0;0;0;1;0;0
18;948025460;0947957463.sql;0948025460.sql;21;20;99;99;0;1;4;0;0;0;0;4
19;948308154;0948025460.sql;0948308154.sql;20;20;99;99;0;0;0;0;0;3;0;0
20;948360147;0948308154.sql;0948360147.sql;20;21;99;109;1;0;0;0;0;0;10;0
21;948376743;0948360147.sql;0948376743.sql;21;21;109;109;1;1;0;0;0;0;10;10
22;948378800;0948376743.sql;0948378800.sql;21;21;109;109;0;0;0;0;0;3;0;0
23;948564793;0948378800.sql;0948564793.sql;21;21;109;119;0;0;11;1;0;0;0;0
24;948572139;0948564793.sql;0948572139.sql;21;21;119;119;0;0;0;0;0;3;0;0
25;948713104;0948572139.sql;0948713104.sql;21;21;119;119;0;0;0;0;1;0;0;0
26;948735285;0948713104.sql;0948735285.sql;21;21;119;118;0;0;0;1;0;0;0;0
27;948990188;0948735285.sql;0948990188.sql;21;21;118;118;0;0;0;0;2;0;0;0
28;950275874;0948990188.sql;0950275874.sql;21;22;118;133;1;0;0;1;1;0;16;0
29;950286372;0950275874.sql;0950286372.sql;22;20;133;128;0;2;0;0;2;0;0;5
30;951748549;0950286372.sql;0951748549.sql;20;20;128;128;0;0;0;0;1;0;0;0
