trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1051916137;1050361840.sql;1051916137.sql;17;17;100;100;0;0;0;0;0;0;0;0
2;1052261929;1051916137.sql;1052261929.sql;17;16;100;98;0;1;0;0;0;0;0;2
3;1061464838;1052261929.sql;1061464838.sql;16;17;98;101;1;0;0;0;0;0;3;0
4;1062942985;1061464838.sql;1062942985.sql;17;17;101;103;0;0;2;0;0;0;0;0
5;1064149810;1062942985.sql;1064149810.sql;17;17;103;103;0;0;0;0;0;0;0;0
6;1068305548;1064149810.sql;1068305548.sql;17;18;103;106;1;0;0;0;0;0;3;0
7;1071351152;1068305548.sql;1071351152.sql;18;19;106;107;1;0;0;0;0;0;1;0
8;1074318579;1071351152.sql;1074318579.sql;19;19;107;110;0;0;3;0;0;0;0;0
9;1076762245;1074318579.sql;1076762245.sql;19;19;110;111;0;0;1;0;0;0;0;0
10;1077352290;1076762245.sql;1077352290.sql;19;19;111;111;0;0;0;0;0;0;0;0
11;1078962234;1077352290.sql;1078962234.sql;19;19;111;111;0;0;0;0;0;0;0;0
12;1078995973;1078962234.sql;1078995973.sql;19;19;111;110;0;0;0;1;2;0;0;0
13;1080114745;1078995973.sql;1080114745.sql;19;19;110;110;0;0;0;0;0;0;0;0
14;1082255315;1080114745.sql;1082255315.sql;19;19;110;111;0;0;1;0;0;0;0;0
15;1084066234;1082255315.sql;1084066234.sql;19;20;111;115;1;0;0;0;0;0;4;0
16;1084079575;1084066234.sql;1084079575.sql;20;21;115;118;1;0;0;0;0;0;3;0
17;1084580979;1084079575.sql;1084580979.sql;21;22;118;122;1;0;0;0;0;0;4;0
18;1085004284;1084580979.sql;1085004284.sql;22;22;122;122;0;0;0;0;0;0;0;0
19;1087209624;1085004284.sql;1087209624.sql;22;22;122;123;0;0;1;0;0;0;0;0
20;1087312730;1087209624.sql;1087312730.sql;22;23;123;125;1;0;0;0;0;0;2;0
21;1087849379;1087312730.sql;1087849379.sql;23;23;125;125;0;0;0;0;0;0;0;0
22;1090140523;1087849379.sql;1090140523.sql;23;23;125;125;0;0;0;0;0;0;0;0
23;1090183528;1090140523.sql;1090183528.sql;23;24;125;130;1;0;0;0;0;0;5;0
24;1090257671;1090183528.sql;1090257671.sql;24;24;130;131;0;0;1;0;0;0;0;0
25;1091851160;1090257671.sql;1091851160.sql;24;24;131;132;0;0;1;0;0;0;0;0
26;1091851395;1091851160.sql;1091851395.sql;24;24;132;132;0;0;0;0;0;1;0;0
27;1092029891;1091851395.sql;1092029891.sql;24;24;132;133;0;0;1;0;0;0;0;0
28;1093335106;1092029891.sql;1093335106.sql;24;25;133;140;1;0;0;0;0;0;7;0
29;1093380067;1093335106.sql;1093380067.sql;25;26;140;141;1;0;0;1;0;0;2;0
30;1094899587;1093380067.sql;1094899587.sql;26;26;141;141;0;0;0;0;0;5;0;0
31;1096197454;1094899587.sql;1096197454.sql;26;26;141;142;0;0;1;0;0;0;0;0
32;1096209792;1096197454.sql;1096209792.sql;26;26;142;141;0;0;1;2;0;0;0;0
33;1096228184;1096209792.sql;1096228184.sql;26;26;141;142;0;0;2;1;0;0;0;0
34;1096755960;1096228184.sql;1096755960.sql;26;28;142;147;2;0;0;0;0;0;5;0
35;1098609713;1096755960.sql;1098609713.sql;28;28;147;147;0;0;4;4;0;0;0;0
36;1098611473;1098609713.sql;1098611473.sql;28;28;147;147;0;0;3;3;0;0;0;0
37;1098652794;1098611473.sql;1098652794.sql;28;28;147;147;0;0;0;0;0;0;0;0
38;1098656452;1098652794.sql;1098656452.sql;28;28;147;148;0;0;1;0;0;0;0;0
39;1101906913;1098656452.sql;1101906913.sql;28;28;148;148;0;0;0;0;0;0;0;0
40;1103341631;1101906913.sql;1103341631.sql;28;27;148;148;0;1;2;0;0;0;0;2
41;1103443250;1103341631.sql;1103443250.sql;27;28;148;142;3;2;0;0;0;0;21;27
42;1105710439;1103443250.sql;1105710439.sql;28;28;142;143;0;0;1;0;0;0;0;0
43;1108724158;1105710439.sql;1108724158.sql;28;28;143;143;0;0;0;0;0;0;0;0
44;1109000038;1108724158.sql;1109000038.sql;28;28;143;142;0;0;0;1;0;0;0;0
45;1110614806;1109000038.sql;1110614806.sql;28;28;142;143;0;0;1;0;0;0;0;0
46;1110628262;1110614806.sql;1110628262.sql;28;28;143;144;0;0;1;0;0;0;0;0
47;1111239756;1110628262.sql;1111239756.sql;28;28;144;144;0;0;2;2;1;0;0;0
48;1112006832;1111239756.sql;1112006832.sql;28;28;144;145;0;0;1;0;0;0;0;0
49;1112269205;1112006832.sql;1112269205.sql;28;28;145;146;0;0;1;0;0;0;0;0
50;1113157770;1112269205.sql;1113157770.sql;28;28;146;154;0;0;8;0;0;0;0;0
51;1114121408;1113157770.sql;1114121408.sql;28;28;154;155;0;0;1;0;0;0;0;0
52;1114545475;1114121408.sql;1114545475.sql;28;28;155;158;0;0;3;0;0;0;0;0
53;1114934845;1114545475.sql;1114934845.sql;28;28;158;159;0;0;1;0;0;0;0;0
54;1115021258;1114934845.sql;1115021258.sql;28;28;159;158;0;0;0;1;0;0;0;0
55;1115022216;1115021258.sql;1115022216.sql;28;27;158;156;0;1;0;0;0;0;0;2
56;1115023217;1115022216.sql;1115023217.sql;27;27;156;156;0;0;0;0;0;0;0;0
57;1115028902;1115023217.sql;1115028902.sql;27;27;156;156;0;0;0;0;6;0;0;0
58;1115105420;1115028902.sql;1115105420.sql;27;27;156;156;0;0;0;0;0;0;0;0
59;1116137928;1115105420.sql;1116137928.sql;27;27;156;156;1;1;0;0;0;0;4;4
60;1116661577;1116137928.sql;1116661577.sql;27;27;156;157;0;0;3;2;0;0;0;0
61;1117103016;1116661577.sql;1117103016.sql;27;28;157;160;1;0;0;0;0;0;3;0
62;1117445641;1117103016.sql;1117445641.sql;28;26;160;156;0;2;0;0;0;0;0;4
63;1117524091;1117445641.sql;1117524091.sql;26;25;156;154;0;1;0;0;0;0;0;2
64;1117970392;1117524091.sql;1117970392.sql;25;25;154;154;0;0;0;0;0;0;0;0
65;1118310550;1117970392.sql;1118310550.sql;25;23;154;148;0;2;0;0;1;0;0;6
66;1118584358;1118310550.sql;1118584358.sql;23;23;148;148;0;0;0;0;1;0;0;0
67;1119140509;1118584358.sql;1119140509.sql;23;23;148;151;0;0;3;0;0;0;0;0
68;1119143181;1119140509.sql;1119143181.sql;23;23;151;151;0;0;0;0;0;0;0;0
69;1119300071;1119143181.sql;1119300071.sql;23;23;151;152;0;0;1;0;0;0;0;0
70;1119690049;1119300071.sql;1119690049.sql;23;23;152;152;0;0;0;0;2;0;0;0
71;1119707238;1119690049.sql;1119707238.sql;23;24;152;154;1;0;0;0;0;0;2;0
72;1120532909;1119707238.sql;1120532909.sql;24;24;154;155;0;0;1;0;0;0;0;0
73;1120748213;1120532909.sql;1120748213.sql;24;24;155;155;0;0;0;0;0;0;0;0
74;1122097645;1120748213.sql;1122097645.sql;24;25;155;160;1;0;0;0;0;0;5;0
75;1122100226;1122097645.sql;1122100226.sql;25;25;160;161;0;0;1;0;1;0;0;0
76;1123940266;1122100226.sql;1123940266.sql;25;25;161;161;0;0;0;0;0;0;0;0
77;1124268228;1123940266.sql;1124268228.sql;25;25;161;161;0;0;0;0;0;0;0;0
78;1126629230;1124268228.sql;1126629230.sql;25;25;161;161;0;0;0;0;0;0;0;0
79;1129264679;1126629230.sql;1129264679.sql;25;25;161;161;0;0;0;0;0;0;0;0
80;1129271263;1129264679.sql;1129271263.sql;25;25;161;161;0;0;0;0;0;0;0;0
81;1131827133;1129271263.sql;1131827133.sql;25;25;161;161;0;0;0;0;0;0;0;0
82;1133433467;1131827133.sql;1133433467.sql;25;25;161;163;0;0;2;0;0;0;0;0
83;1133479422;1133433467.sql;1133479422.sql;25;25;163;163;0;0;0;0;0;0;0;0
84;1135230066;1133479422.sql;1135230066.sql;25;25;163;164;0;0;1;0;0;0;0;0
85;1135232556;1135230066.sql;1135232556.sql;25;25;164;164;0;0;0;0;0;0;0;0
86;1135935191;1135232556.sql;1135935191.sql;25;26;164;167;1;0;0;0;0;0;3;0
87;1138282154;1135935191.sql;1138282154.sql;26;27;167;170;1;0;0;0;0;0;3;0
88;1138679048;1138282154.sql;1138679048.sql;27;28;170;173;1;0;0;0;0;0;3;0
89;1139639012;1138679048.sql;1139639012.sql;28;28;173;173;0;0;0;0;0;0;0;0
90;1140746191;1139639012.sql;1140746191.sql;28;29;173;178;1;0;0;0;0;0;5;0
91;1142174103;1140746191.sql;1142174103.sql;29;29;178;178;0;0;0;0;0;0;0;0
92;1143522573;1142174103.sql;1143522573.sql;29;29;178;179;0;0;1;0;0;0;0;0
93;1144530673;1143522573.sql;1144530673.sql;29;29;179;179;0;0;0;0;0;0;0;0
94;1144767364;1144530673.sql;1144767364.sql;29;30;179;182;1;0;0;0;0;0;3;0
95;1145248239;1144767364.sql;1145248239.sql;30;31;182;184;1;0;0;0;0;0;2;0
96;1145249292;1145248239.sql;1145249292.sql;31;31;184;184;0;0;0;0;1;0;0;0
97;1150420605;1145249292.sql;1150420605.sql;31;32;184;204;1;0;0;0;0;0;20;0
98;1150929640;1150420605.sql;1150929640.sql;32;31;204;197;0;1;0;0;0;0;0;7
99;1151422655;1150929640.sql;1151422655.sql;31;31;197;197;0;0;0;0;0;0;0;0
100;1151424707;1151422655.sql;1151424707.sql;31;31;197;197;0;0;0;0;0;0;0;0
101;1151601720;1151424707.sql;1151601720.sql;31;31;197;197;0;0;0;0;0;0;0;0
102;1152411076;1151601720.sql;1152411076.sql;31;31;197;197;0;0;0;0;0;0;0;0
103;1152513003;1152411076.sql;1152513003.sql;31;31;197;199;0;0;2;0;4;0;0;0
104;1152520728;1152513003.sql;1152520728.sql;31;31;199;199;0;0;0;0;0;0;0;0
105;1152600987;1152520728.sql;1152600987.sql;31;31;199;199;0;0;0;0;3;0;0;0
106;1153581147;1152600987.sql;1153581147.sql;31;31;199;199;0;0;0;0;0;0;0;0
107;1153586608;1153581147.sql;1153586608.sql;31;31;199;199;0;0;0;0;3;0;0;0
108;1158350901;1153586608.sql;1158350901.sql;31;31;199;200;0;0;1;0;0;0;0;0
109;1158354155;1158350901.sql;1158354155.sql;31;31;200;199;0;0;0;1;0;0;0;0
110;1161596130;1158354155.sql;1161596130.sql;31;31;199;200;0;0;1;0;0;0;0;0
111;1161761219;1161596130.sql;1161761219.sql;31;32;200;203;1;0;0;0;0;0;3;0
112;1161785878;1161761219.sql;1161785878.sql;32;33;203;209;1;0;0;0;0;0;6;0
113;1162365211;1161785878.sql;1162365211.sql;33;33;209;210;0;0;1;0;0;0;0;0
114;1162416963;1162365211.sql;1162416963.sql;33;33;210;209;0;0;0;1;0;0;0;0
115;1162418238;1162416963.sql;1162418238.sql;33;33;209;210;0;0;1;0;0;0;0;0
116;1162979646;1162418238.sql;1162979646.sql;33;33;210;210;0;0;0;0;0;0;0;0
117;1163281098;1162979646.sql;1163281098.sql;33;33;210;210;0;0;0;0;0;0;0;0
118;1164204360;1163281098.sql;1164204360.sql;33;33;210;210;0;0;0;0;0;0;0;0
119;1164205313;1164204360.sql;1164205313.sql;33;33;210;210;0;0;0;0;0;0;0;0
120;1164684132;1164205313.sql;1164684132.sql;33;33;210;210;0;0;0;0;0;0;0;0
121;1164688295;1164684132.sql;1164688295.sql;33;33;210;210;0;0;0;0;0;0;0;0
122;1165664195;1164688295.sql;1165664195.sql;33;33;210;212;0;0;2;0;0;0;0;0
123;1166102572;1165664195.sql;1166102572.sql;33;33;212;213;0;0;1;0;0;0;0;0
124;1166128200;1166102572.sql;1166128200.sql;33;33;213;213;0;0;0;0;0;0;0;0
125;1166737243;1166128200.sql;1166737243.sql;33;33;213;213;0;0;0;0;0;0;0;0
126;1166737381;1166737243.sql;1166737381.sql;33;33;213;213;0;0;0;0;0;0;0;0
127;1168471958;1166737381.sql;1168471958.sql;33;34;213;219;1;0;0;0;0;0;6;0
128;1168531045;1168471958.sql;1168531045.sql;34;34;219;219;0;0;0;0;0;0;0;0
129;1169454896;1168531045.sql;1169454896.sql;34;34;219;219;0;0;0;0;0;0;0;0
130;1170320301;1169454896.sql;1170320301.sql;34;34;219;221;0;0;2;0;0;0;0;0
131;1170666816;1170320301.sql;1170666816.sql;34;34;221;221;0;0;0;0;0;0;0;0
132;1171020133;1170666816.sql;1171020133.sql;34;34;221;222;0;0;1;0;0;0;0;0
133;1171050091;1171020133.sql;1171050091.sql;34;34;222;221;0;0;0;1;0;0;0;0
134;1172438372;1171050091.sql;1172438372.sql;34;34;221;221;0;0;0;0;0;0;0;0
135;1173324031;1172438372.sql;1173324031.sql;34;34;221;222;0;0;1;0;0;0;0;0
136;1173473411;1173324031.sql;1173473411.sql;34;34;222;223;0;0;1;0;0;0;0;0
137;1173799559;1173473411.sql;1173799559.sql;34;34;223;223;0;0;0;0;0;0;0;0
138;1173909659;1173799559.sql;1173909659.sql;34;34;223;232;0;0;9;0;0;0;0;0
139;1173910504;1173909659.sql;1173910504.sql;34;34;232;233;0;0;1;0;0;0;0;0
140;1174158658;1173910504.sql;1174158658.sql;34;34;233;233;0;0;0;0;0;0;0;0
141;1177250646;1174158658.sql;1177250646.sql;34;34;233;233;0;0;0;0;0;0;0;0
142;1178549073;1177250646.sql;1178549073.sql;34;34;233;238;0;0;5;0;0;0;0;0
143;1178555052;1178549073.sql;1178555052.sql;34;34;238;233;0;0;0;5;0;0;0;0
144;1178557013;1178555052.sql;1178557013.sql;34;34;233;233;0;0;0;0;0;0;0;0
145;1180625175;1178557013.sql;1180625175.sql;34;34;233;238;0;0;5;0;0;0;0;0
146;1181237468;1180625175.sql;1181237468.sql;34;34;238;239;0;0;1;0;0;0;0;0
147;1181981285;1181237468.sql;1181981285.sql;34;34;239;239;0;0;0;0;7;0;0;0
148;1182525595;1181981285.sql;1182525595.sql;34;34;239;239;0;0;0;0;0;0;0;0
149;1182537084;1182525595.sql;1182537084.sql;34;34;239;239;0;0;0;0;129;0;0;0
150;1182543102;1182537084.sql;1182543102.sql;34;34;239;239;0;0;0;0;7;0;0;0
151;1182626880;1182543102.sql;1182626880.sql;34;34;239;239;0;0;0;0;0;0;0;0
152;1184009958;1182626880.sql;1184009958.sql;34;34;239;239;0;0;0;0;0;0;0;0
153;1184011522;1184009958.sql;1184011522.sql;34;34;239;239;0;0;0;0;0;0;0;0
154;1185115512;1184011522.sql;1185115512.sql;34;34;239;241;0;0;2;0;0;0;0;0
155;1185117358;1185115512.sql;1185117358.sql;34;34;241;241;0;0;0;0;0;0;0;0
156;1185230272;1185117358.sql;1185230272.sql;34;34;241;242;0;0;1;0;0;0;0;0
157;1185760597;1185230272.sql;1185760597.sql;34;34;242;243;0;0;1;0;0;0;0;0
158;1185790303;1185760597.sql;1185790303.sql;34;34;243;243;0;0;0;0;0;0;0;0
159;1185892835;1185790303.sql;1185892835.sql;34;34;243;242;0;0;0;1;0;0;0;0
160;1186370980;1185892835.sql;1186370980.sql;34;34;242;242;0;0;0;0;0;0;0;0
161;1186424460;1186370980.sql;1186424460.sql;34;34;242;242;0;0;0;0;0;0;0;0
162;1186671482;1186424460.sql;1186671482.sql;34;34;242;242;0;0;0;0;0;0;0;0
163;1186843427;1186671482.sql;1186843427.sql;34;34;242;242;0;0;1;1;0;0;0;0
164;1188256612;1186843427.sql;1188256612.sql;34;34;242;242;0;0;0;0;0;0;0;0
165;1188258273;1188256612.sql;1188258273.sql;34;34;242;242;0;0;0;0;0;0;0;0
166;1188354793;1188258273.sql;1188354793.sql;34;34;242;242;0;0;0;0;0;0;0;0
167;1188401447;1188354793.sql;1188401447.sql;34;34;242;242;0;0;0;0;0;0;0;0
168;1188980058;1188401447.sql;1188980058.sql;34;34;242;242;0;0;0;0;0;0;0;0
169;1189129932;1188980058.sql;1189129932.sql;34;34;242;243;0;0;1;0;0;0;0;0
170;1189171828;1189129932.sql;1189171828.sql;34;34;243;242;0;0;0;1;0;0;0;0
171;1197366716;1189171828.sql;1197366716.sql;34;35;242;249;1;0;0;0;0;0;7;0
172;1197382166;1197366716.sql;1197382166.sql;35;35;249;249;1;1;0;0;0;0;7;7
173;1197569803;1197382166.sql;1197569803.sql;35;35;249;249;0;0;0;0;2;0;0;0
174;1197840477;1197569803.sql;1197840477.sql;35;35;249;249;0;0;1;1;0;0;0;0
175;1198920742;1197840477.sql;1198920742.sql;35;36;249;251;1;0;0;0;0;0;2;0
176;1199132813;1198920742.sql;1199132813.sql;36;35;251;249;0;1;0;0;0;0;0;2
177;1203336983;1199132813.sql;1203336983.sql;35;35;249;250;0;0;1;0;0;0;0;0
