trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1158530548;1158386826.sql;1158530548.sql;61;61;613;611;0;0;0;2;0;0;0;0
2;1159015188;1158530548.sql;1159015188.sql;61;61;611;613;0;0;2;0;0;0;0;0
3;1159692512;1159015188.sql;1159692512.sql;61;61;613;613;0;0;0;0;28;0;0;0
4;1159900559;1159692512.sql;1159900559.sql;61;61;613;612;0;0;0;1;0;0;0;0
5;1160444819;1159900559.sql;1160444819.sql;61;61;612;612;0;0;0;0;0;0;0;0
6;1160596587;1160444819.sql;1160596587.sql;61;61;612;612;0;0;0;0;0;0;0;0
7;1160777418;1160596587.sql;1160777418.sql;61;61;612;613;0;0;1;0;0;0;0;0
8;1163166592;1160777418.sql;1163166592.sql;61;61;613;613;0;0;0;0;0;0;0;0
9;1164380366;1163166592.sql;1164380366.sql;61;61;613;614;0;0;1;0;1;0;0;0
10;1164484856;1164380366.sql;1164484856.sql;61;61;614;615;0;0;1;0;0;0;0;0
11;1165167419;1164484856.sql;1165167419.sql;61;61;615;616;0;0;1;0;0;0;0;0
12;1165772685;1165167419.sql;1165772685.sql;61;61;616;617;0;0;1;0;0;0;0;0
13;1166896248;1165772685.sql;1166896248.sql;61;61;617;617;0;0;0;0;0;2;0;0
14;1167177999;1166896248.sql;1167177999.sql;61;61;617;617;0;0;0;0;0;0;0;0
15;1168351844;1167177999.sql;1168351844.sql;61;61;617;617;0;0;0;0;3;0;0;0
16;1169059309;1168351844.sql;1169059309.sql;61;61;617;617;0;0;0;0;2;0;0;0
17;1169114439;1169059309.sql;1169114439.sql;61;61;617;617;0;0;0;0;2;0;0;0
18;1172174285;1169114439.sql;1172174285.sql;61;61;617;617;0;0;0;0;1;0;0;0
19;1172437394;1172174285.sql;1172437394.sql;61;61;617;617;0;0;0;0;0;0;0;0
20;1173024317;1172437394.sql;1173024317.sql;61;61;617;617;0;0;0;0;0;0;0;0
21;1173823255;1173024317.sql;1173823255.sql;61;61;617;618;0;0;1;0;0;0;0;0
22;1174098728;1173823255.sql;1174098728.sql;61;61;618;619;0;0;1;0;0;0;0;0
23;1174219551;1174098728.sql;1174219551.sql;61;61;619;619;0;0;0;0;1;0;0;0
24;1176054036;1174219551.sql;1176054036.sql;61;62;619;532;1;0;0;94;0;0;7;0
25;1176095400;1176054036.sql;1176095400.sql;62;62;532;532;0;0;0;0;0;0;0;0
26;1177880206;1176095400.sql;1177880206.sql;62;62;532;532;0;0;0;0;0;0;0;0
27;1178340823;1177880206.sql;1178340823.sql;62;62;532;532;0;0;0;0;0;0;0;0
28;1178543999;1178340823.sql;1178543999.sql;62;62;532;531;0;0;0;1;0;2;0;0
29;1179963424;1178543999.sql;1179963424.sql;62;62;531;531;0;0;0;0;0;0;0;0
30;1180095724;1179963424.sql;1180095724.sql;62;62;531;532;0;0;1;0;0;0;0;0
31;1180119664;1180095724.sql;1180119664.sql;62;62;532;532;0;0;1;1;0;0;0;0
32;1183439579;1180119664.sql;1183439579.sql;62;62;532;532;0;0;0;0;2;0;0;0
33;1184261208;1183439579.sql;1184261208.sql;62;62;532;532;0;0;0;0;11;0;0;0
34;1185623222;1184261208.sql;1185623222.sql;62;62;532;532;0;0;0;0;3;0;0;0
35;1185913659;1185623222.sql;1185913659.sql;62;62;532;532;0;0;0;0;0;0;0;0
36;1191423954;1185913659.sql;1191423954.sql;62;62;532;533;0;0;1;0;0;0;0;0
37;1191472959;1191423954.sql;1191472959.sql;62;62;533;533;0;0;0;0;1;0;0;0
38;1191669642;1191472959.sql;1191669642.sql;62;62;533;533;0;0;0;0;2;0;0;0
39;1192363952;1191669642.sql;1192363952.sql;62;62;533;533;0;0;0;0;3;0;0;0
40;1192376804;1192363952.sql;1192376804.sql;62;62;533;533;0;0;0;0;1;0;0;0
41;1196867901;1192376804.sql;1196867901.sql;62;62;533;533;0;0;0;0;2;0;0;0
42;1202079310;1196867901.sql;1202079310.sql;62;62;533;534;0;0;1;0;0;0;0;0
43;1206189077;1202079310.sql;1206189077.sql;62;62;534;535;0;0;1;0;0;0;0;0
44;1214064253;1206189077.sql;1214064253.sql;62;62;535;535;0;0;0;0;6;0;0;0
45;1217334967;1214064253.sql;1217334967.sql;62;62;535;537;0;0;2;0;0;0;0;0
46;1217427783;1217334967.sql;1217427783.sql;62;62;537;537;0;0;0;0;0;0;0;0
47;1222175013;1217427783.sql;1222175013.sql;62;62;537;538;0;0;1;0;0;0;0;0
48;1227729515;1222175013.sql;1227729515.sql;62;62;538;539;0;0;1;0;0;0;0;0
49;1227793464;1227729515.sql;1227793464.sql;62;62;539;539;0;0;0;0;12;0;0;0
50;1237555339;1227793464.sql;1237555339.sql;62;62;539;539;0;0;0;0;0;0;0;0
51;1244464586;1237555339.sql;1244464586.sql;62;62;539;539;0;0;0;0;0;0;0;0
52;1245405110;1244464586.sql;1245405110.sql;62;62;539;540;0;0;1;0;0;0;0;0
53;1245744594;1245405110.sql;1245744594.sql;62;62;540;542;0;0;2;0;0;0;0;0
54;1246091800;1245744594.sql;1246091800.sql;62;62;542;542;0;0;0;0;0;0;0;0
55;1248209951;1246091800.sql;1248209951.sql;62;62;542;544;0;0;2;0;0;0;0;0
56;1249314416;1248209951.sql;1249314416.sql;62;62;544;547;0;0;3;0;0;0;0;0
57;1249486126;1249314416.sql;1249486126.sql;62;62;547;547;0;0;0;0;0;0;0;0
58;1250089247;1249486126.sql;1250089247.sql;62;62;547;548;0;0;1;0;0;0;0;0
59;1252079050;1250089247.sql;1252079050.sql;62;62;548;548;0;0;0;0;0;0;0;0
60;1252085233;1252079050.sql;1252085233.sql;62;62;548;548;0;0;0;0;0;0;0;0
61;1254680099;1252085233.sql;1254680099.sql;62;62;548;548;0;0;0;0;0;0;0;0
62;1264444924;1254680099.sql;1264444924.sql;62;62;548;548;0;0;0;0;0;0;0;0
63;1264720525;1264444924.sql;1264720525.sql;62;62;548;548;0;0;0;0;0;0;0;0
64;1267655529;1264720525.sql;1267655529.sql;62;62;548;548;0;0;0;0;0;0;0;0
65;1278541391;1267655529.sql;1278541391.sql;62;61;548;538;2;3;2;6;3;0;10;16
66;1287500783;1278541391.sql;1287500783.sql;61;62;538;550;3;2;6;0;1;0;16;10
67;1294765945;1287500783.sql;1294765945.sql;62;62;550;548;0;0;0;2;1;0;0;0
68;1297281817;1294765945.sql;1297281817.sql;62;62;548;549;0;0;1;0;2;0;0;0
69;1298516622;1297281817.sql;1298516622.sql;62;62;549;548;0;0;0;1;2;0;0;0
70;1299016620;1298516622.sql;1299016620.sql;62;62;548;549;0;0;1;0;1;0;0;0
71;1307589206;1299016620.sql;1307589206.sql;62;61;549;538;2;3;1;5;0;0;9;16
72;1307700179;1307589206.sql;1307700179.sql;61;63;538;556;3;1;6;2;1;0;16;2
73;1307814124;1307700179.sql;1307814124.sql;63;63;556;558;0;0;2;0;1;0;0;0
74;1307922738;1307814124.sql;1307922738.sql;63;63;558;556;0;0;0;2;1;0;0;0
75;1307924435;1307922738.sql;1307924435.sql;63;63;556;558;0;0;2;0;1;0;0;0
76;1309673740;1307924435.sql;1309673740.sql;63;63;558;555;0;0;0;3;1;0;0;0
77;1309820842;1309673740.sql;1309820842.sql;63;63;555;557;0;0;2;0;1;0;0;0
78;1310745473;1309820842.sql;1310745473.sql;63;60;557;539;2;5;8;4;1;0;9;31
79;1313910416;1310745473.sql;1313910416.sql;60;61;539;538;2;1;3;9;1;0;11;6
80;1314652660;1313910416.sql;1314652660.sql;61;61;538;539;0;0;1;0;0;0;0;0
81;1315065330;1314652660.sql;1315065330.sql;61;61;539;545;1;1;4;0;0;0;5;3
82;1316545707;1315065330.sql;1316545707.sql;61;60;545;536;0;1;0;4;0;0;0;5
83;1318556462;1316545707.sql;1318556462.sql;60;63;536;555;3;0;5;2;1;0;16;0
84;1318559368;1318556462.sql;1318559368.sql;63;63;555;555;0;0;0;0;0;0;0;0
85;1318559960;1318559368.sql;1318559960.sql;63;60;555;536;0;3;2;5;1;0;0;16
86;1321640046;1318559960.sql;1321640046.sql;60;61;536;539;1;0;0;0;0;0;3;0
87;1328302464;1321640046.sql;1328302464.sql;61;61;539;540;0;0;1;0;0;0;0;0
88;1329343412;1328302464.sql;1329343412.sql;61;61;540;540;0;0;1;1;0;0;0;0
89;1331759898;1329343412.sql;1331759898.sql;61;59;540;530;0;2;4;3;0;0;0;11
90;1332619774;1331759898.sql;1332619774.sql;59;59;530;532;0;0;2;0;0;0;0;0
