trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
43;1192548817;1192544515.sql;1192548817.sql;58;58;761;761;0;0;0;0;0;0;0;0
44;1192991429;1192548817.sql;1192991429.sql;58;58;761;761;0;0;0;0;1;0;0;0
45;1193067774;1192991429.sql;1193067774.sql;58;58;761;761;0;0;0;0;1;0;0;0
46;1193161488;1193067774.sql;1193161488.sql;58;58;761;761;0;0;0;0;1;0;0;0
47;1196331142;1193161488.sql;1196331142.sql;58;58;761;761;0;0;0;0;1;0;0;0
48;1200599808;1196331142.sql;1200599808.sql;58;58;761;761;0;0;0;0;1;0;0;0
49;1205165684;1200599808.sql;1205165684.sql;58;58;761;760;0;0;4;5;86;0;0;0
50;1205256257;1205165684.sql;1205256257.sql;58;58;760;761;0;0;1;0;0;0;0;0
51;1207152878;1205256257.sql;1207152878.sql;58;59;761;768;1;0;7;3;0;0;3;0
52;1207155106;1207152878.sql;1207155106.sql;59;59;768;768;0;0;0;0;0;0;0;0
53;1207645001;1207155106.sql;1207645001.sql;59;61;768;778;3;1;6;7;2;0;18;7
54;1207729000;1207645001.sql;1207729000.sql;61;59;778;767;1;3;7;6;0;0;6;18
55;1207730207;1207729000.sql;1207730207.sql;59;59;767;768;0;0;1;0;1;0;0;0
56;1207732538;1207730207.sql;1207732538.sql;59;59;768;768;0;0;1;1;0;0;0;0
57;1207746551;1207732538.sql;1207746551.sql;59;59;768;757;1;1;1;1;0;0;3;14
58;1207757687;1207746551.sql;1207757687.sql;59;59;757;757;0;0;0;0;1;0;0;0
59;1207821078;1207757687.sql;1207821078.sql;59;59;757;758;0;0;1;0;1;0;0;0
60;1207826418;1207821078.sql;1207826418.sql;59;59;758;758;0;0;0;0;0;0;0;0
61;1207826523;1207826418.sql;1207826523.sql;59;59;758;758;0;0;0;0;1;0;0;0
62;1208184865;1207826523.sql;1208184865.sql;59;59;758;759;0;0;1;0;0;0;0;0
63;1208185208;1208184865.sql;1208185208.sql;59;59;759;759;0;0;1;1;0;0;0;0
64;1208249112;1208185208.sql;1208249112.sql;59;59;759;759;0;0;0;0;0;0;0;0
