trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
14;1034619576;1034036778.sql;1034619576.sql;19;19;83;83;0;0;0;0;0;0;0;0
15;1034907910;1034619576.sql;1034907910.sql;19;19;83;84;0;0;2;1;0;0;0;0
16;1035366075;1034907910.sql;1035366075.sql;19;18;84;83;0;1;2;0;2;0;0;3
17;1037042231;1035366075.sql;1037042231.sql;18;19;83;88;1;0;1;0;0;0;4;0
18;1038213294;1037042231.sql;1038213294.sql;19;19;88;89;0;0;1;0;2;0;0;0
19;1045468374;1038213294.sql;1045468374.sql;19;19;89;89;0;0;2;2;0;0;0;0
20;1045475435;1045468374.sql;1045475435.sql;19;19;89;89;0;0;1;1;0;0;0;0
21;1045603387;1045475435.sql;1045603387.sql;19;24;89;111;5;0;40;35;1;6;17;0
22;1045605692;1045603387.sql;1045605692.sql;24;24;111;111;0;0;3;3;0;0;0;0
23;1045618809;1045605692.sql;1045618809.sql;24;24;111;113;1;1;8;6;2;0;2;2
24;1045626347;1045618809.sql;1045626347.sql;24;26;113;122;2;0;3;0;1;0;6;0
25;1045691561;1045626347.sql;1045691561.sql;26;26;122;120;0;0;0;2;0;0;0;0
26;1045699202;1045691561.sql;1045699202.sql;26;27;120;124;1;0;1;0;0;0;3;0
