trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
58;1174225765;1170958245.sql;1174225765.sql;21;21;154;154;0;0;0;0;0;0;0;0
59;1180916141;1174225765.sql;1180916141.sql;21;21;154;154;0;0;0;0;0;0;0;0
60;1184840085;1180916141.sql;1184840085.sql;21;21;154;154;0;0;0;0;0;0;0;0
61;1185547485;1184840085.sql;1185547485.sql;21;21;154;154;0;0;0;0;0;0;0;0
62;1187593995;1185547485.sql;1187593995.sql;21;21;154;154;0;0;0;0;0;0;0;0
63;1190287880;1187593995.sql;1190287880.sql;21;21;154;154;0;0;0;0;1;0;0;0
64;1190288499;1190287880.sql;1190288499.sql;21;21;154;154;0;0;0;0;1;0;0;0
65;1197617749;1190288499.sql;1197617749.sql;21;22;154;158;1;0;1;0;0;0;3;0
66;1198272779;1197617749.sql;1198272779.sql;22;22;158;158;0;0;0;0;0;0;0;0
67;1201347720;1198272779.sql;1201347720.sql;22;22;158;158;0;0;0;0;0;0;0;0
68;1202687578;1201347720.sql;1202687578.sql;22;22;158;157;0;0;0;1;0;0;0;0
69;1213560917;1202687578.sql;1213560917.sql;22;22;157;160;0;0;3;0;0;0;0;0
70;1217574918;1213560917.sql;1217574918.sql;22;22;160;161;0;0;1;0;0;0;0;0
71;1222968796;1217574918.sql;1222968796.sql;22;23;161;169;1;0;0;0;0;0;8;0
72;1224325992;1222968796.sql;1224325992.sql;23;23;169;169;0;0;0;0;0;0;0;0
73;1224832417;1224325992.sql;1224832417.sql;23;23;169;170;0;0;1;0;0;0;0;0
74;1225479992;1224832417.sql;1225479992.sql;23;23;170;170;0;0;0;0;1;0;0;0
75;1226420617;1225479992.sql;1226420617.sql;23;23;170;172;0;0;2;0;0;0;0;0
76;1227527290;1226420617.sql;1227527290.sql;23;23;172;173;0;0;1;0;0;0;0;0
77;1228984226;1227527290.sql;1228984226.sql;23;23;173;174;0;0;1;0;0;1;0;0
78;1229031171;1228984226.sql;1229031171.sql;23;23;174;174;0;0;0;0;0;0;0;0
79;1229034071;1229031171.sql;1229034071.sql;23;23;174;174;0;0;0;0;0;2;0;0
80;1229423025;1229034071.sql;1229423025.sql;23;23;174;174;0;0;0;0;0;0;0;0
81;1229807770;1229423025.sql;1229807770.sql;23;23;174;174;0;0;0;0;0;0;0;0
82;1229809003;1229807770.sql;1229809003.sql;23;23;174;174;0;0;0;0;0;0;0;0
83;1231231359;1229809003.sql;1231231359.sql;23;23;174;174;0;0;0;0;0;0;0;0
