trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
27;1096977771;1094702316.sql;1096977771.sql;17;19;132;148;2;0;0;0;0;0;16;0
28;1097150148;1096977771.sql;1097150148.sql;19;19;148;148;0;0;0;0;0;0;0;0
29;1097253895;1097150148.sql;1097253895.sql;19;19;148;148;0;0;0;0;0;0;0;0
30;1099322400;1097253895.sql;1099322400.sql;19;19;148;148;0;0;0;0;0;0;0;0
31;1100284292;1099322400.sql;1100284292.sql;19;19;148;148;0;0;0;0;0;0;0;0
32;1102847057;1100284292.sql;1102847057.sql;19;19;148;148;0;0;0;0;0;0;0;0
33;1104391042;1102847057.sql;1104391042.sql;19;19;148;148;0;0;0;0;0;0;0;0
34;1106708446;1104391042.sql;1106708446.sql;19;19;148;150;0;0;2;0;1;0;0;0
35;1107386981;1106708446.sql;1107386981.sql;19;20;150;154;1;0;0;0;0;0;4;0
36;1111481648;1107386981.sql;1111481648.sql;20;20;154;154;0;0;0;0;1;0;0;0
37;1116259822;1111481648.sql;1116259822.sql;20;20;154;152;0;0;0;2;0;0;0;0
38;1116260877;1116259822.sql;1116260877.sql;20;20;152;147;0;0;0;5;0;0;0;0
39;1123428868;1116260877.sql;1123428868.sql;20;20;147;146;0;0;0;1;0;0;0;0
40;1130202984;1123428868.sql;1130202984.sql;20;20;146;146;0;0;0;0;0;0;0;0
