trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
12;1237857462;1237574023.sql;1237857462.sql;46;46;292;294;0;0;2;0;0;0;0;0
13;1238121825;1237857462.sql;1238121825.sql;46;47;294;299;1;0;0;0;0;0;5;0
14;1239235332;1238121825.sql;1239235332.sql;47;48;299;301;1;0;1;1;6;0;2;0
15;1241435169;1239235332.sql;1241435169.sql;48;47;301;297;0;1;1;0;0;0;0;5
16;1241730214;1241435169.sql;1241730214.sql;47;47;297;297;0;0;0;0;2;0;0;0
17;1245377084;1241730214.sql;1245377084.sql;47;48;297;305;48;47;0;0;0;0;305;297
18;1248223570;1245377084.sql;1248223570.sql;48;48;305;304;48;48;0;0;0;0;304;305
19;1257375862;1248223570.sql;1257375862.sql;48;50;304;313;3;1;7;2;0;0;9;5
20;1257376170;1257375862.sql;1257376170.sql;50;51;313;320;1;0;0;0;0;0;7;0
21;1257387545;1257376170.sql;1257387545.sql;51;51;320;329;0;0;10;1;3;0;0;0
