trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
59;1252079050;1250089247.sql;1252079050.sql;62;62;548;548;0;0;0;0;0;0;0;0
60;1252085233;1252079050.sql;1252085233.sql;62;62;548;548;0;0;0;0;0;0;0;0
61;1254680099;1252085233.sql;1254680099.sql;62;62;548;548;0;0;0;0;0;0;0;0
62;1264444924;1254680099.sql;1264444924.sql;62;62;548;548;0;0;0;0;0;0;0;0
63;1264720525;1264444924.sql;1264720525.sql;62;62;548;548;0;0;0;0;0;0;0;0
64;1267655529;1264720525.sql;1267655529.sql;62;62;548;548;0;0;0;0;0;0;0;0
65;1278541391;1267655529.sql;1278541391.sql;62;61;548;538;2;3;2;6;3;0;10;16
66;1287500783;1278541391.sql;1287500783.sql;61;62;538;550;3;2;6;0;1;0;16;10
67;1294765945;1287500783.sql;1294765945.sql;62;62;550;548;0;0;0;2;1;0;0;0
68;1297281817;1294765945.sql;1297281817.sql;62;62;548;549;0;0;1;0;2;0;0;0
69;1298516622;1297281817.sql;1298516622.sql;62;62;549;548;0;0;0;1;2;0;0;0
70;1299016620;1298516622.sql;1299016620.sql;62;62;548;549;0;0;1;0;1;0;0;0
