trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
57;1255953049;1253538661.sql;1255953049.sql;22;22;240;240;0;0;0;0;0;0;0;0
58;1259148454;1255953049.sql;1259148454.sql;22;22;240;240;0;0;0;0;1;0;0;0
59;1266778467;1259148454.sql;1266778467.sql;22;22;240;241;0;0;1;0;0;0;0;0
60;1271763028;1266778467.sql;1271763028.sql;22;22;241;241;0;0;0;0;1;0;0;0
61;1281440335;1271763028.sql;1281440335.sql;22;22;241;241;0;0;0;0;1;0;0;0
62;1285331382;1281440335.sql;1285331382.sql;22;22;241;241;0;0;0;0;1;0;0;0
63;1285667687;1285331382.sql;1285667687.sql;22;23;241;252;1;0;0;0;0;0;11;0
64;1287146991;1285667687.sql;1287146991.sql;23;23;252;285;0;0;33;0;0;0;0;0
65;1289605813;1287146991.sql;1289605813.sql;23;22;285;265;0;1;0;0;0;0;0;20
66;1289666211;1289605813.sql;1289666211.sql;22;22;265;265;0;0;0;0;1;0;0;0
67;1289908073;1289666211.sql;1289908073.sql;22;22;265;267;0;0;2;0;0;0;0;0
68;1293357521;1289908073.sql;1293357521.sql;22;22;267;267;0;0;0;0;1;0;0;0
69;1295001061;1293357521.sql;1295001061.sql;22;22;267;267;0;0;0;0;0;0;0;0
70;1295541314;1295001061.sql;1295541314.sql;22;21;267;246;0;1;0;0;0;0;0;21
71;1295564633;1295541314.sql;1295564633.sql;21;18;246;239;0;3;0;0;0;0;0;7
72;1295608759;1295564633.sql;1295608759.sql;18;18;239;239;0;0;2;2;0;0;0;0
