trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1067188064;1065192910.sql;1067188064.sql;10;10;122;122;0;0;0;0;0;0;0;0
2;1079968597;1067188064.sql;1079968597.sql;10;10;122;123;0;0;1;0;0;0;0;0
3;1080033253;1079968597.sql;1080033253.sql;10;10;123;124;0;0;1;0;0;0;0;0
4;1082715510;1080033253.sql;1082715510.sql;10;10;124;125;0;0;1;0;0;0;0;0
5;1083328733;1082715510.sql;1083328733.sql;10;11;125;131;1;0;0;0;0;0;6;0
6;1086679320;1083328733.sql;1086679320.sql;11;11;131;131;0;0;0;0;1;0;0;0
7;1091914059;1086679320.sql;1091914059.sql;11;12;131;142;1;0;4;0;0;0;7;0
8;1093298597;1091914059.sql;1093298597.sql;12;12;142;146;0;0;4;0;0;0;0;0
9;1100515748;1093298597.sql;1100515748.sql;12;12;146;146;0;0;0;0;1;0;0;0
10;1106395395;1100515748.sql;1106395395.sql;12;12;146;146;0;0;0;0;0;0;0;0
11;1112800758;1106395395.sql;1112800758.sql;12;12;146;146;0;0;0;0;0;0;0;0
12;1113773932;1112800758.sql;1113773932.sql;12;12;146;146;0;0;0;0;1;0;0;0
13;1114595876;1113773932.sql;1114595876.sql;12;12;146;146;0;0;0;0;0;0;0;0
14;1128427400;1114595876.sql;1128427400.sql;12;13;146;173;1;0;10;0;0;0;17;0
15;1130319523;1128427400.sql;1130319523.sql;13;13;173;176;0;0;3;0;0;0;0;0
16;1130527082;1130319523.sql;1130527082.sql;13;13;176;178;0;0;2;0;0;0;0;0
17;1131824300;1130527082.sql;1131824300.sql;13;13;178;179;0;0;1;0;0;0;0;0
18;1134829582;1131824300.sql;1134829582.sql;13;14;179;190;1;0;0;0;0;0;11;0
19;1144661235;1134829582.sql;1144661235.sql;14;15;190;195;1;0;1;0;1;0;4;0
20;1151493952;1144661235.sql;1151493952.sql;15;15;195;195;0;0;0;0;1;0;0;0
21;1157065759;1151493952.sql;1157065759.sql;15;15;195;195;0;0;0;0;32;0;0;0
22;1161772027;1157065759.sql;1161772027.sql;15;18;195;203;3;0;1;0;0;0;7;0
23;1163712797;1161772027.sql;1163712797.sql;18;18;203;203;0;0;0;0;0;0;0;0
24;1165163203;1163712797.sql;1165163203.sql;18;18;203;203;0;0;0;0;2;0;0;0
25;1165924672;1165163203.sql;1165924672.sql;18;19;203;223;1;0;0;0;0;0;20;0
26;1166181255;1165924672.sql;1166181255.sql;19;19;223;223;0;0;0;0;0;0;0;0
27;1167900371;1166181255.sql;1167900371.sql;19;19;223;223;0;0;0;0;1;0;0;0
28;1170058443;1167900371.sql;1170058443.sql;19;19;223;223;0;0;0;0;0;0;0;0
29;1170074875;1170058443.sql;1170074875.sql;19;19;223;223;0;0;0;0;0;0;0;0
30;1170173126;1170074875.sql;1170173126.sql;19;19;223;223;0;0;0;0;1;0;0;0
31;1170608262;1170173126.sql;1170608262.sql;19;19;223;223;0;0;0;0;6;0;0;0
32;1171995584;1170608262.sql;1171995584.sql;19;19;223;223;0;0;0;0;1;0;0;0
33;1172003810;1171995584.sql;1172003810.sql;19;19;223;223;0;0;0;0;0;0;0;0
34;1173138875;1172003810.sql;1173138875.sql;19;19;223;223;0;0;0;0;0;0;0;0
35;1173729537;1173138875.sql;1173729537.sql;19;19;223;223;0;0;0;0;16;0;0;0
36;1175541203;1173729537.sql;1175541203.sql;19;19;223;223;0;0;0;0;1;0;0;0
37;1188402758;1175541203.sql;1188402758.sql;19;19;223;224;0;0;1;0;0;0;0;0
38;1194291487;1188402758.sql;1194291487.sql;19;19;224;224;0;0;0;0;0;0;0;0
